Q0,F73=6,F40=3,F36=5,F39=3,F35=1,F18=7,F48=1,F63=1,F2=8
Q1,F22=3,F19=4,,,,,,,
Q2,F41=4,F22=6,,,,,,,
Q3,F43=8,F51=1,F38=2,,,,,,
Q4,F81=9,F26=3,F46=9,F51=7,F23=4,F71=6,F52=3,,
Q5,,,,,,,,,
Q6,F91=6,F53=5,F87=4,F76=0,F16=4,F70=5,,,
Q7,F50=2,F63=2,F23=5,F39=9,F44=0,,,,
Q8,F79=1,F34=2,F72=7,,,,,,
Q9,F95=9,F57=1,,,,,,,
Q10,F89=10,F44=2,F23=9,F46=4,F87=3,F85=8,F45=6,,
Q11,F61=3,F27=3,F5=2,F93=8,F57=8,F22=5,F68=6,F37=6,
Q12,F31=9,F42=6,F8=1,F88=2,,,,,
Q13,F35=0,F12=5,,,,,,,
Q14,F84=4,,,,,,,,
Q15,F41=5,F15=6,F83=1,F84=6,,,,,
Q16,F63=9,,,,,,,,
Q17,,,,,,,,,
Q18,F26=3,F65=8,F30=3,F12=2,F60=1,,,,
Q19,F85=4,F63=9,F17=2,F31=9,F84=4,F73=7,F74=2,F7=2,
Q20,F59=1,F13=7,F96=4,F48=2,F81=5,F40=2,,,
Q21,F1=8,F27=3,F69=3,F92=3,F13=7,,,,
Q22,F68=3,F86=10,F46=4,F7=2,F18=3,,,,
Q23,F50=2,F65=7,F65=7,F55=7,F28=2,,,,
Q24,F99=1,F98=9,F14=7,F80=6,F41=9,F24=4,,,
Q25,F91=8,F18=1,F57=2,F44=5,F78=8,F93=6,F14=6,F51=8,F74=3
Q26,F64=6,F92=4,,,,,,,
Q27,F60=2,F58=7,F80=7,,,,,,
Q28,F31=9,F85=5,F20=6,F59=7,F77=4,F73=6,F8=2,F76=2,
Q29,F93=7,F89=9,F33=1,F98=8,F67=9,F7=5,,,
Q30,F6=2,F96=4,F30=3,F76=3,F60=0,F28=1,F51=9,F86=9,
Q31,F22=6,F71=5,F15=5,F88=1,,,,,
Q32,F57=6,F86=3,F14=6,F72=4,F30=3,F11=10,F8=2,,
Q33,F35=1,F33=2,F33=6,F16=4,,,,,
Q34,F95=7,F15=5,F27=5,F41=5,F90=6,F99=3,F14=9,F71=5,
Q35,F64=3,F2=1,F72=1,F93=6,F99=3,,,,
Q36,,,,,,,,,
Q37,F1=9,F50=4,F4=6,F46=8,F40=3,F32=1,F35=1,F40=4,F85=8
Q38,F58=9,,,,,,,,
Q39,F45=2,,,,,,,,
Q40,,,,,,,,,
Q41,,,,,,,,,
Q42,F3=1,F40=5,,,,,,,
Q43,,,,,,,,,
Q44,F9=2,F8=646,F11=4,F40=5,F55=2,F89=9,,,
Q45,F2=1,F4=6,,,,,,,
Q46,F12=2,,,,,,,,
Q47,F62=0,F49=1,,,,,,,
Q48,F38=2,F76=6,F11=4,F30=7,,,,,
Q49,F16=7,F7=2,F51=1,F58=7,F11=4,F10=9,F27=5,,
Q50,F1=3,F61=1,F64=1,F95=1,F39=4,F34=1,F66=4,,
Q51,F23=8,F79=4,F24=4,F89=9,F21=7,F42=6,,,
Q52,F36=4,F32=1,F46=9,F73=6,F49=6,F21=5,,,
Q53,F41=2,F78=1,F58=7,F18=1,F84=5,,,,
Q54,F62=6,,,,,,,,
Q55,F64=6,F40=6,F63=0,F26=4,F48=7,F73=7,F40=5,,
Q56,F45=4,F90=6,F29=2,F61=2,F88=2,F27=2,F23=9,F45=8,
Q57,F41=4,F2=3,F63=1,F15=6,F58=8,F37=6,F58=9,F95=10,
Q58,F46=4,F95=7,F26=2,F89=9,F24=7,F10=8,F80=2,F82=5,F5=2
Q59,F6=3,F23=7,F76=4,F6=0,F65=9,F11=4,F13=7,F95=8,
Q60,F31=3,F36=2,F31=2,F44=1,,,,,
Q61,F45=1,F85=4,F47=3,F16=4,F81=7,F24=1,F15=918,F51=8,F69=4
Q62,F12=1,F35=1,F17=1,F82=5,F6=5,F38=10,,,
Q63,F98=8,F84=3,F86=2,F18=1,F96=2,F69=2,,,
Q64,F60=1,F84=6,F48=2,F76=2,F30=3,,,,
Q65,F57=2,F18=1,F58=7,F54=5,F22=4,,,,
Q66,F0=2,F82=5,F61=1,F24=2,F90=3,F42=9,,,
Q67,F70=4,F23=3,F8=2,F80=0,F22=4,F29=10,F88=1,,
Q68,F59=1,F72=1,F62=7,F46=10,,,,,
Q69,F68=6,F16=7,F72=7,F70=5,F62=8,F79=4,F20=7,F88=3,
Q70,F76=6,F5=0,F77=9,,,,,,
Q71,F47=5,F47=3,F66=4,F7=5,F32=0,F1=3,F65=6,,
Q72,F83=8,F70=9,F16=6,,,,,,
Q73,F36=8,F54=7,F55=5,F7=5,F12=3,,,,
Q74,F18=8,F25=3,F23=7,F1=3,F35=9,F77=3,F79=3,,
Q75,F81=6,F66=1,F36=8,,,,,,
Q76,F18=1,F14=9,F64=6,F4=4,F43=2,F69=2,,,
Q77,F42=5,F8=1,,,,,,,
Q78,F99=6,F28=8,F49=6,,,,,,
Q79,F29=2,F59=1,F21=4,F7=2,,,,,
Q80,F87=2,,,,,,,,
Q81,F19=1,F64=9,F73=7,F77=3,F21=7,,,,
Q82,F24=8,F29=3,F50=3,F83=2,F36=8,,,,
Q83,F52=6,F24=4,F99=6,F79=4,F85=7,,,,
Q84,F61=1,F79=2,F16=8,,,,,,
Q85,F56=4,F52=5,F44=6,F21=0,F56=6,F31=8,F2=2,,
Q86,F32=1,F47=4,F73=7,F58=9,,,,,
Q87,F88=1,F26=5,F82=10,F79=5,F35=1,F93=3,,,
Q88,F81=298,F29=5,F1=1,,,,,,
Q89,F41=5,F66=7,F53=6,,,,,,
Q90,F0=5,F40=5,F14=6,F18=7,F76=1,F58=5,F10=10,,
Q91,F70=6,F18=390,F92=9,F31=9,,,,,
Q92,F95=6,F52=6,F34=1,F26=4,F40=4,F27=6,F34=10,F51=10,
Q93,F52=3,F93=7,F89=8,F46=5,F17=6,F92=8,F27=4,F18=8,
Q94,,,,,,,,,
Q95,F81=6,F19=5,F58=8,F41=2,F74=4,F64=6,,,
Q96,F92=8,,,,,,,,
Q97,F15=5,,,,,,,,
Q98,,,,,,,,,
Q99,F72=7,F90=7,F97=5,F7=5,F17=5,F44=6,F61=1,F51=9,F98=8
Q100,F1=0,F42=5,F4=4,F25=2,F15=6,,,,
Q101,F54=7,F20=5,F19=2,F36=8,F25=2,F71=5,F91=7,F45=4,F96=1
Q102,F36=8,F39=5,F83=2,F88=1,F44=6,F86=2,,,
Q103,F29=6,F2=9,F23=4,,,,,,
Q104,,,,,,,,,
Q105,F9=2,F68=3,F54=4,F11=4,F26=3,F66=3,,,
Q106,F93=5,F49=6,F88=3,F2=8,F60=2,F18=8,,,
Q107,F62=0,F74=3,F25=8,F80=6,F79=4,F34=9,F43=9,F51=1,
Q108,F90=6,F8=1,F53=2,F96=1,F0=1,F72=4,F14=2,F6=4,F70=6
Q109,F47=4,,,,,,,,
Q110,F72=5,F57=1,,,,,,,
Q111,F70=8,F95=0,F27=3,F90=2,F13=8,F10=10,F62=0,F90=2,F98=8
Q112,F7=5,,,,,,,,
Q113,F67=8,F79=2,,,,,,,
Q114,F36=2,F9=3,F16=7,F7=3,F64=9,F17=5,,,
Q115,F23=4,F18=9,F65=6,F49=6,F14=7,F8=406,F26=2,F65=9,F75=8
Q116,F49=1,,,,,,,,
Q117,F51=1,,,,,,,,
Q118,F10=6,F8=2,F53=2,F78=1,F59=6,F1=0,F16=6,F74=3,F57=7
Q119,F32=0,,,,,,,,
Q120,F74=2,F17=2,,,,,,,
Q121,F13=8,F48=7,,,,,,,
Q122,F6=1,F48=1,F37=6,,,,,,
Q123,F33=7,F46=4,F50=3,F89=10,F79=4,F23=8,,,
Q124,F50=3,F44=6,F86=2,F69=9,F11=719,F89=10,F19=9,F33=1,F87=3
Q125,,,,,,,,,
Q126,F12=4,F37=7,F2=10,,,,,,
Q127,F7=5,F93=3,F53=3,F96=0,F43=7,F83=1,F85=7,F32=2,F70=9
Q128,F80=7,,,,,,,,
Q129,F36=8,F58=9,,,,,,,
Q130,F65=8,F80=8,,,,,,,
Q131,F1=0,F32=3,F25=3,F24=996,F7=5,F90=7,F3=6,F58=8,F96=0
Q132,F98=6,,,,,,,,
Q133,F98=6,,,,,,,,
Q134,F14=6,F80=6,F77=3,F42=8,,,,,
Q135,F10=7,F32=3,F39=2,F5=2,F37=7,F25=1,,,
Q136,F41=5,F91=8,F61=3,F49=1,F86=3,,,,
Q137,,,,,,,,,
Q138,F78=1,F64=6,F29=2,F11=4,F74=2,,,,
Q139,F84=5,F80=1,F37=5,F89=4,F18=8,F75=4,F49=5,,
Q140,F21=7,,,,,,,,
Q141,F15=6,F3=6,,,,,,,
Q142,F36=5,F2=9,F93=7,F29=6,F41=2,F72=5,F42=4,,
Q143,F41=1,F4=6,F15=6,F99=7,F75=6,F81=6,,,
Q144,F7=2,F6=2,F22=4,F50=1,,,,,
Q145,F15=6,,,,,,,,
Q146,F89=10,F55=2,F99=6,F6=1,F7=2,F13=3,,,
Q147,F81=7,F97=5,F42=4,F99=3,F90=3,F45=4,F96=4,,
Q148,F44=6,F53=3,F77=3,F59=7,F70=10,F11=4,F0=1,,
Q149,F84=5,F93=6,F50=4,F30=2,F73=7,F64=2,F32=1,F12=2,
Q150,F68=7,F28=9,,,,,,,
Q151,F42=4,,,,,,,,
Q152,F44=0,F79=3,F50=3,F49=6,F50=5,,,,
Q153,,,,,,,,,
Q154,F93=6,F70=6,F36=3,F81=5,,,,,
Q155,F73=7,,,,,,,,
Q156,F36=4,F46=5,F53=4,,,,,,
Q157,F11=4,,,,,,,,
Q158,F31=2,F94=6,,,,,,,
Q159,F49=7,F61=3,F31=8,F81=9,F26=6,F68=6,F98=6,F78=3,
Q160,F16=7,F1=9,F83=3,F35=9,F34=9,F22=5,F1=1,F31=3,F94=2
Q161,F24=4,F66=3,,,,,,,
Q162,,,,,,,,,
Q163,F53=5,F41=979,F63=9,F11=4,F32=1,F43=8,F98=8,F90=1,
Q164,,,,,,,,,
Q165,F50=1,F3=1,F71=4,F38=2,,,,,
Q166,F47=5,F77=3,F62=8,F57=2,F45=7,F13=719,F78=1,F51=9,F5=1
Q167,F29=6,F52=3,F73=7,F66=2,F73=8,F52=2,F77=3,F92=9,
Q168,F54=8,F37=7,,,,,,,
Q169,,,,,,,,,
Q170,F43=7,F19=8,F66=4,F16=7,F58=3,F90=3,F84=5,F69=9,F36=3
Q171,F43=153,F36=4,,,,,,,
Q172,F48=2,F43=7,F73=7,,,,,,
Q173,F67=8,F80=1,F72=6,F28=2,F31=2,F66=4,F29=2,F96=3,F76=7
Q174,F50=3,F33=8,F2=8,F48=7,F91=6,F1=3,,,
Q175,F86=9,F27=2,F50=4,F40=6,F79=4,F57=1,F29=5,F84=4,F1=0
Q176,F61=2,F67=9,F35=1,F89=10,F31=2,F56=3,F80=8,,
Q177,F4=4,F85=7,F57=2,F56=5,F53=5,F31=8,F70=10,F54=4,F32=2
Q178,F6=2,F73=7,F87=2,,,,,,
Q179,F41=4,F61=2,F49=5,F73=7,,,,,
Q180,F4=6,F25=7,F88=1,F6=4,F95=6,F12=3,F19=8,F61=1,F12=5
Q181,F1=0,,,,,,,,
Q182,F78=0,,,,,,,,
Q183,F45=3,F93=2,F39=9,F95=7,F52=4,F69=9,F76=0,F72=7,F99=4
Q184,F75=8,F43=8,F10=5,F29=1,,,,,
Q185,F72=2,F96=4,F82=3,F32=2,F89=4,F6=2,F11=10,F81=6,F65=8
Q186,F52=5,F80=8,,,,,,,
Q187,F14=6,F50=2,,,,,,,
Q188,F2=4,F3=5,F71=5,F51=8,F51=10,F64=6,F79=2,,
Q189,F35=0,F11=9,F62=8,F68=3,,,,,
Q190,F33=1,F0=3,F25=2,F88=2,,,,,
Q191,F56=4,F54=5,F32=1,F42=9,F21=1,,,,
Q192,F37=6,F39=1,F7=3,F36=2,F56=0,,,,
Q193,F58=8,F85=8,F89=8,F13=4,F1=2,F71=5,F44=1,,
Q194,F13=8,F98=7,F18=1,F39=1,F38=9,,,,
Q195,F57=8,F40=3,F14=1,F71=5,F66=6,F53=660,,,
Q196,F27=5,F35=9,F65=9,F83=2,F13=8,,,,
Q197,F62=8,F79=2,,,,,,,
Q198,F14=1,F80=6,F84=7,F15=7,F27=3,F21=4,,,
Q199,F32=2,F17=6,,,,,,,
Q200,F38=1,F7=5,F13=4,F18=8,F5=4,F25=8,F83=3,,
Q201,F39=3,F90=1,F24=2,F46=3,F22=6,F84=5,F31=1,F98=9,F66=4
Q202,F92=9,F72=1,F57=3,F78=4,F32=1,F66=7,F45=3,,
Q203,,,,,,,,,
